location,direction,RSSI1,RSSI2,RSSI3
B2,N,-56,-67,-77
B2,N,-56,-64,-83
B2,N,-56,-67,-76
B2,N,-56,-69,-77
B2,N,-66,-63,-84
B2,N,-56,-67,-77
B2,N,-56,-67,-77
B2,N,-66,-66,-78
B2,N,-66,-64,-83
B2,N,-66,-63,-83
B2,N,-66,-64,-81
B2,N,-57,-67,-78
B2,N,-66,-64,-78
B2,N,-66,-69,-77
B2,N,-56,-67,-78
B2,N,-54,-70,-78
B2,N,-57,-67,-83
B2,N,-56,-67,-78
B2,N,-66,-64,-83
B2,N,-67,-64,-78
B2,N,-56,-67,-78
B2,N,-67,-64,-83
B2,N,-56,-64,-78
B2,N,-56,-68,-78
B2,N,-67,-63,-83
B2,N,-56,-67,-82
B2,N,-57,-67,-78
B2,N,-66,-64,-83
B2,N,-56,-63,-83
B2,N,-66,-70,-78
B2,N,-66,-64,-81
B2,N,-56,-66,-78
B2,N,-56,-66,-78
B2,N,-55,-70,-82
B2,N,-56,-64,-82
B2,N,-55,-70,-78
B2,N,-67,-66,-77
B2,N,-56,-63,-77
B2,N,-57,-67,-78
B2,N,-56,-70,-77
B2,N,-56,-67,-77
B2,N,-56,-67,-78
B2,N,-56,-67,-78
B2,N,-56,-67,-78
B2,N,-56,-67,-78
B2,N,-66,-63,-78
B2,N,-57,-67,-77
B2,N,-55,-64,-90
B2,N,-66,-64,-82
B2,N,-56,-67,-79
B2,N,-56,-67,-78
B2,N,-56,-64,-82
B2,N,-57,-66,-78
B2,N,-56,-67,-78
B2,N,-56,-67,-78
B2,N,-56,-66,-77
B2,N,-67,-64,-84
B2,N,-56,-66,-78
B2,N,-56,-67,-78
B2,N,-66,-63,-83
B2,N,-57,-64,-78
B2,N,-57,-66,-77
B2,N,-67,-64,-78
B2,N,-67,-70,-89
B2,N,-57,-67,-78
B2,N,-67,-70,-83
B2,N,-56,-63,-77
B2,N,-57,-67,-85
B2,N,-67,-70,-77
B2,N,-67,-67,-78
B2,N,-56,-67,-78
B2,N,-56,-70,-81
B2,N,-56,-66,-77
B2,N,-66,-64,-83
B2,N,-56,-64,-83
B2,N,-56,-67,-78
B2,N,-66,-64,-80
B2,N,-67,-70,-78
B2,N,-55,-67,-83
B2,N,-55,-69,-78
B2,N,-67,-70,-83
B2,N,-56,-70,-78
B2,N,-67,-64,-77
B2,N,-67,-64,-83
B2,N,-57,-67,-77
B2,N,-57,-67,-78
B2,N,-67,-70,-77
B2,N,-66,-70,-83
B2,N,-55,-70,-82
B2,N,-66,-66,-78
B2,N,-55,-63,-83
B2,N,-55,-70,-83
B2,N,-66,-64,-83
B2,N,-57,-67,-77
B2,N,-54,-64,-83
B2,N,-66,-67,-83
B2,N,-56,-67,-77
B2,N,-56,-67,-77
B2,N,-56,-64,-77
B2,N,-56,-67,-77
B2,W,-67,-67,-83
B2,W,-66,-68,-81
B2,W,-78,-68,-84
B2,W,-66,-68,-83
B2,W,-67,-67,-83
B2,W,-78,-67,-81
B2,W,-67,-68,-80
B2,W,-80,-68,-81
B2,W,-65,-86,-81
B2,W,-65,-88,-82
B2,W,-67,-67,-82
B2,W,-66,-85,-80
B2,W,-67,-68,-83
B2,W,-67,-67,-82
B2,W,-66,-86,-81
B2,W,-67,-68,-81
B2,W,-66,-68,-83
B2,W,-66,-88,-81
B2,W,-67,-68,-82
B2,W,-78,-67,-82
B2,W,-66,-87,-81
B2,W,-67,-68,-82
B2,W,-67,-68,-82
B2,W,-66,-88,-83
B2,W,-66,-68,-83
B2,W,-67,-68,-81
B2,W,-66,-87,-81
B2,W,-67,-68,-83
B2,W,-67,-68,-82
B2,W,-78,-86,-81
B2,W,-67,-67,-83
B2,W,-67,-67,-81
B2,W,-66,-86,-82
B2,W,-68,-68,-81
B2,W,-66,-86,-81
B2,W,-66,-67,-83
B2,W,-67,-87,-81
B2,W,-67,-66,-81
B2,W,-66,-68,-83
B2,W,-67,-67,-83
B2,W,-66,-69,-82
B2,W,-66,-68,-84
B2,W,-66,-67,-83
B2,W,-67,-67,-81
B2,W,-66,-67,-85
B2,W,-67,-68,-85
B2,W,-65,-68,-80
B2,W,-66,-67,-84
B2,W,-67,-67,-81
B2,W,-65,-69,-81
B2,W,-67,-67,-83
B2,W,-78,-67,-84
B2,W,-65,-85,-81
B2,W,-67,-67,-80
B2,W,-80,-68,-81
B2,W,-67,-67,-80
B2,W,-66,-67,-82
B2,W,-67,-67,-83
B2,W,-65,-86,-82
B2,W,-67,-67,-84
B2,W,-68,-67,-83
B2,W,-67,-67,-81
B2,W,-67,-67,-83
B2,W,-78,-67,-83
B2,W,-66,-84,-81
B2,W,-67,-68,-81
B2,W,-66,-67,-82
B2,W,-67,-68,-79
B2,W,-66,-67,-80
B2,W,-67,-86,-80
B2,W,-78,-67,-82
B2,W,-67,-68,-84
B2,W,-66,-85,-81
B2,W,-66,-67,-81
B2,W,-66,-67,-83
B2,W,-67,-67,-83
B2,W,-66,-67,-81
B2,W,-67,-67,-83
B2,W,-67,-68,-82
B2,W,-67,-86,-82
B2,W,-66,-68,-83
B2,W,-79,-68,-81
B2,W,-67,-67,-81
B2,W,-66,-67,-82
B2,W,-66,-85,-80
B2,W,-66,-86,-81
B2,W,-66,-67,-82
B2,W,-82,-86,-82
B2,W,-66,-67,-81
B2,W,-66,-67,-82
B2,W,-80,-86,-82
B2,W,-66,-67,-82
B2,W,-66,-67,-82
B2,W,-79,-84,-82
B2,W,-67,-67,-81
B2,W,-67,-67,-82
B2,W,-67,-85,-82
B2,W,-67,-67,-83
B2,W,-67,-67,-82
B2,W,-67,-67,-81
B2,S,-53,-72,-78
B2,S,-55,-67,-77
B2,S,-52,-72,-78
B2,S,-53,-73,-77
B2,S,-56,-66,-77
B2,S,-53,-72,-76
B2,S,-52,-72,-77
B2,S,-56,-73,-78
B2,S,-55,-67,-78
B2,S,-53,-72,-77
B2,S,-55,-66,-78
B2,S,-53,-73,-78
B2,S,-54,-67,-75
B2,S,-55,-72,-78
B2,S,-54,-71,-78
B2,S,-54,-72,-79
B2,S,-57,-73,-79
B2,S,-56,-66,-76
B2,S,-54,-72,-78
B2,S,-56,-67,-77
B2,S,-52,-72,-77
B2,S,-54,-72,-77
B2,S,-56,-68,-76
B2,S,-54,-72,-78
B2,S,-53,-72,-77
B2,S,-54,-72,-75
B2,S,-53,-67,-78
B2,S,-56,-67,-81
B2,S,-53,-72,-78
B2,S,-54,-72,-77
B2,S,-57,-71,-75
B2,S,-56,-67,-79
B2,S,-53,-72,-78
B2,S,-56,-67,-79
B2,S,-53,-67,-79
B2,S,-57,-71,-75
B2,S,-56,-67,-80
B2,S,-56,-72,-78
B2,S,-57,-72,-76
B2,S,-55,-67,-79
B2,S,-54,-72,-78
B2,S,-54,-72,-77
B2,S,-56,-67,-77
B2,S,-54,-72,-77
B2,S,-54,-72,-78
B2,S,-56,-72,-77
B2,S,-53,-67,-75
B2,S,-57,-73,-78
B2,S,-56,-67,-78
B2,S,-57,-73,-78
B2,S,-54,-72,-78
B2,S,-56,-67,-78
B2,S,-53,-72,-77
B2,S,-54,-72,-77
B2,S,-56,-67,-78
B2,S,-53,-72,-78
B2,S,-56,-67,-76
B2,S,-53,-72,-78
B2,S,-53,-72,-77
B2,S,-56,-66,-80
B2,S,-56,-72,-78
B2,S,-56,-67,-78
B2,S,-53,-72,-78
B2,S,-56,-67,-79
B2,S,-54,-71,-78
B2,S,-57,-72,-77
B2,S,-54,-72,-79
B2,S,-54,-72,-78
B2,S,-54,-72,-77
B2,S,-56,-66,-77
B2,S,-53,-71,-77
